Nimi,Korpus,NER,Keel,Parameetreid
EstBERT,1154000000,90.11,Eesti,340000000
FinBERT,13500000000,92.4,Soome,340000000
BERT,3300000000,92.8,Inglise,340000000
XLM-RoBERTa,5.16E+11,89.1,Eesti,550000000
XLM-RoBERTa,5.16E+11,92.92,Inglise,550000000
mBERT,10000000000,88.37,Eesti,340000000
RoBERTa,33000000000,93.4,Inglise,354000000
DeBERTa,16000000000,93.8,Inglise,345000000
mBERT,10000000000,90.29,Soome,340000000
